[2026-07-29T02:46:35.974Z] GET http://localhost:5183/node_modules/.vite/deps/react.js?v=b16b1142 → 200 (?ms, 130087B)
[2026-07-29T02:46:35.975Z] GET http://localhost:5183/node_modules/.vite/deps/react-dom_client.js?v=b16b1142 → 200 (?ms, 2819303B)
[2026-07-29T02:46:35.975Z] GET http://localhost:5183/src/App.tsx?t=1785293173151 → 304 (10ms, ?B)
[2026-07-29T02:46:35.977Z] GET http://localhost:5183/src/index.css?t=1785293194411 → 304 (10ms, ?B)
[2026-07-29T02:46:35.977Z] GET http://localhost:5183/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=b16b1142 → 200 (?ms, 34713B)
[2026-07-29T02:46:35.977Z] GET http://localhost:5183/node_modules/.vite/deps/rolldown-runtime-BvCyGRYZ.js?v=b16b1142 → 200 (1ms, 1287B)
[2026-07-29T02:46:35.979Z] GET http://localhost:5183/node_modules/.vite/deps/react-dom.js?v=b16b1142 → 200 (?ms, 48822B)
[2026-07-29T02:46:35.986Z] GET http://localhost:5183/src/components/Restaurant.tsx → 304 (1ms, ?B)
[2026-07-29T02:46:35.986Z] GET http://localhost:5183/src/game/audio.ts?t=1785293080517 → 304 (2ms, ?B)
[2026-07-29T02:46:35.986Z] GET http://localhost:5183/src/game/letters.ts → 304 (2ms, ?B)
[2026-07-29T02:46:35.986Z] GET http://localhost:5183/src/game/store.ts → 304 (2ms, ?B)
[2026-07-29T02:46:35.986Z] GET http://localhost:5183/src/screens/Parent.tsx?t=1785293173151 → 304 (2ms, ?B)
[2026-07-29T02:46:35.986Z] GET http://localhost:5183/src/screens/Play.tsx?t=1785293162289 → 304 (3ms, ?B)
[2026-07-29T02:46:35.987Z] GET http://localhost:5183/src/screens/Rest.tsx?t=1785293128373 → 304 (2ms, ?B)
[2026-07-29T02:46:35.987Z] GET http://localhost:5183/src/screens/Title.tsx?t=1785293128373 → 304 (2ms, ?B)
[2026-07-29T02:46:35.989Z] GET http://localhost:5183/src/components/Cat.tsx?t=1785293128373 → 304 (1ms, ?B)
[2026-07-29T02:46:35.989Z] GET http://localhost:5183/src/components/Plate.tsx → 304 (1ms, ?B)
[2026-07-29T02:46:35.989Z] GET http://localhost:5183/src/components/Sushi.tsx → 304 (1ms, ?B)
[2026-07-29T02:46:35.989Z] GET http://localhost:5183/src/game/engine.ts → 304 (1ms, ?B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/prompt/S.mp3 → 200 (4ms, 11620B)
[2026-07-29T02:46:37.820Z] GET http://localhost:5183/audio/confirm/S.mp3 → 200 (4ms, 7823B)
